threshold,green,orange,red,total,green_pct,orange_pct,red_pct,precision,recall,f1
40,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
45,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
50,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
55,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
60,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
65,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
70,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
75,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
80,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
85,84,51,88,223,37.6682,22.8700,39.4619,0.6222,0.4884,0.5472
90,85,53,85,223,38.1166,23.7668,38.1166,0.6159,0.5000,0.5519
95,87,55,81,223,39.0135,24.6637,36.3229,0.6127,0.5179,0.5613
